requestid,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
218033,Tree Removal,2025-01-01 03:08 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","5151 Hull St,  Houston,  Texas,  77021","6, ZONE",534N,77021,CLOSED,2025-01-01,03:08 PM
218035,Tree Removal,2025-01-02 08:47 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","3011 N Macgregor Way,  Houston,  Texas,  77004","6, ZONE",533G,77004,ROUTE,2025-01-02,08:47 AM
218037,Tree Trim,2025-01-02 09:38 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","5524 Gessner Dr,  Houston,  Texas,  77041","3, ZONE",450A,77041,CLOSED,2025-01-02,09:38 AM
218038,Tree Trim,2025-01-02 09:50 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","5131 Idaho St,  Houston,  Texas,  77021","6, ZONE",534N,77021,CLOSED,2025-01-02,09:50 AM
218040,Tree Removal,2025-01-02 10:26 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","3603 Freshmeadows Dr,  Houston,  Texas,  77063","2, ZONE",490Z,77063,CLOSED,2025-01-02,10:26 AM
218048,Tree Trim,2025-01-02 11:32 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","10057 Bob White Dr,  Houston,  Texas,  77096","7, ZONE",530V,77096,CLOSED,2025-01-02,11:32 AM
218052,Tree Removal,2025-01-02 04:15 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","6014 Willowbend Blvd,  Houston,  Texas,  77096","7, ZONE",531W,77096,CLOSED,2025-01-02,04:15 PM
218053,Tree Removal,2025-01-02 09:28 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","1504 Upland Glen Way,  Houston,  Texas,  77043","3, ZONE",449X,77043,CLOSED,2025-01-02,09:28 PM
218056,Tree Stump Grinding,2025-01-03 08:21 AM,Tree Stump Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7014 Vandeman St,  Houston,  Texas,  77087","5, ZONE",535E,77087,ROUTE,2025-01-03,08:21 AM
218061,Tree Trim,2025-01-03 09:54 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","6001 Fannin St,  Houston,  Texas,  77030 (Hermann Park)","7, ZONE",533A,77030,CLOSED,2025-01-03,09:54 AM
218069,Tree Trim,2025-01-03 12:42 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","8014 Constellation Ln,  Houston,  Texas,  77075","6, ZONE",575P,77075,CLOSED,2025-01-03,12:42 PM
218070,Tree Removal,2025-01-03 01:00 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","8946 Duane St,  Houston,  Texas,  77051","6, ZONE",533Z,77051,CLOSED,2025-01-03,01:00 PM
218071,Tree Removal,2025-01-03 01:03 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - CASTILLO, ALEJANDRO","9615 Kingsvalley St,  Houston,  Texas,  77075","6, ZONE",576S,77075,CLOSED,2025-01-03,01:03 PM
218072,Tree Removal,2025-01-03 01:39 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5327 Ridgestone Ln,  Houston,  Texas,  77053","7, ZONE",611C,77053,CLOSED,2025-01-03,01:39 PM
218073,Tree Removal,2025-01-03 01:39 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - LEIJA, DANIEL","5323 Ridgestone Ln,  Houston,  Texas,  77053","7, ZONE",611C,77053,CLOSED,2025-01-03,01:39 PM
218076,Tree Removal,2025-01-03 01:54 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","116 Wynne St,  Houston,  Texas,  77009","4, ZONE",453U,77009,CLOSED,2025-01-03,01:54 PM
218079,Tree Trim,2025-01-03 02:15 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","4102 Lamar St,  Houston,  Texas,  77023","5, ZONE",494S,77023,CLOSED,2025-01-03,02:15 PM
218080,Tree Removal,2025-01-03 02:21 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7707 El Rancho St,  Houston,  Texas,  77087","6, ZONE",535S,77087,CLOSED,2025-01-03,02:21 PM
218081,Tree Removal,2025-01-03 02:40 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA","1567 Hewitt Dr,  Houston,  Texas,  77018","3, ZONE",452J,77018,CLOSED,2025-01-03,02:40 PM
218083,Tree Trim,2025-01-03 03:03 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","108 Sidney St,  Houston,  Texas,  77003","5, ZONE",494P,77003,CLOSED,2025-01-03,03:03 PM
218085,Tree Trim,2025-01-03 03:46 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","6621 Kassarine Pass,  Houston,  Texas,  77033","6, ZONE",534N,77033,CLOSED,2025-01-03,03:46 PM
218086,Tree Trim,2025-01-03 03:58 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - ERICKSON, IAN","7510 Moline St,  Houston,  Texas,  77087","6, ZONE",535N,77087,CLOSED,2025-01-03,03:58 PM
