"year","service_type","avg_days_to_service"
2020,Tree Trim,"79 days 16:31:52.086022"
2020,Tree Stump Grinding,"71 days 32:02:09"
2020,Tree Removal,"67 days 18:18:50.543046"
2020,Tree Planting,"92 days 30:08:30"
2020,Tree Code Violation,"133 days 27:16:30"
2021,Tree Trim,"102 days 19:47:18.644457"
2021,Tree Stump Grinding,"162 days 33:59:26.842105"
2021,Tree Removal,"97 days 30:30:25.231608"
2021,Tree Planting,"240 days 13:20:00"
2021,Tree Code Violation,"57 days 24:08:15"
2022,Tree Trim,"150 days 13:55:10.662021"
2022,Tree Stump Grinding,"203 days 11:20:57.6"
2022,Tree Removal,"157 days 16:36:33.821293"
2022,Tree Planting,"268 days 26:54:12"
2022,Tree Code Violation,"12 days 29:58:48"
2023,Tree Trim,"84 days 18:49:56.628881"
2023,Tree Stump Grinding,"127 days 19:44:53.454545"
2023,Tree Removal,"97 days 29:46:58.197115"
2023,Tree Planting,"251 days 20:01:00"
2023,Tree Code Violation,"60 days 27:31:06"
2024,Tree Trim,"117 days 24:27:16.023801"
2024,Tree Stump Grinding,"154 days 11:24:11.363636"
2024,Tree Removal,"119 days 19:05:51.971067"
2024,Tree Planting,"222 days 31:55:12"
2024,Tree Code Violation,"169 days 11:26:37.5"
2025,Tree Trim,"66 days 14:12:07.190412"
2025,Tree Stump Grinding,"113 days 28:44:18"
2025,Tree Removal,"92 days 13:01:39.144981"
2025,Tree Planting,"111 days 27:43:10"
2025,Tree Code Violation,"84 days 07:10:51.428572"
