"sr_num","service_type","days_to_service"
"170496",Tree Removal,51
"196180",Tree Removal,51
"196514",Tree Trim,75
"194566",Tree Removal,51
"222843",Tree Trim,75
"222842",Tree Trim,75
"194468",Tree Removal,51
"195815",Tree Removal,51
"222834",Tree Removal,51
"203686",Tree Removal,51
"222830",Tree Trim,75
"222829",Tree Trim,75
"194213",Tree Removal,51
"222827",Tree Trim,75
"197686",Tree Removal,51
"170268",Tree Trim,75
"222824",Tree Trim,75
"193972",Tree Trim,75
"196542",Tree Trim,75
"222820",Tree Removal,51
"195334",Tree Removal,51
"222815",Tree Removal,51
"222810",Tree Trim,75
"171913",Tree Removal,51
"179228",Tree Trim,38
"185129",Tree Removal,51
"195575",Tree Removal,51
"222806",Tree Removal,51
"194961",Tree Trim,75
"222804",Tree Removal,51
"197977",Tree Removal,51
"171233",Tree Trim,75
"222798",Tree Removal,51
"199586",Tree Removal,51
"199570",Tree Trim,75
"222794",Tree Trim,75
"194277",Tree Trim,75
"171146",Tree Trim,75
"194676",Tree Trim,75
"170905",Tree Removal,51
"197988",Tree Trim,75
"222789",Tree Removal,51
"222788",Tree Trim,75
"222787",Tree Trim,75
"222783",Tree Trim,75
"195122",Tree Removal,51
"195355",Tree Removal,51
"222777",Tree Removal,51
"171609",Tree Removal,51
"186930",Tree Trim,75
"171766",Tree Removal,51
"172906",Tree Trim,75
"173122",Tree Trim,75
"222775",Tree Stump Grinding,116
"179171",Tree Removal,
"179276",Tree Trim,
"196886",Tree Removal,51
"180177",Tree Trim,
"222771",Tree Trim,75
"195789",Tree Removal,51
"195782",Tree Removal,51
"196302",Tree Removal,51
"222763",Tree Trim,75
"222765",Tree Removal,51
"196005",Tree Trim,75
"222761",Tree Trim,75
"196070",Tree Trim,75
"196735",Tree Trim,75
"197216",Tree Trim,75
"222754",Tree Trim,75
"197607",Tree Trim,75
"180565",Tree Trim,75
"222750",Tree Removal,51
"222748",Tree Removal,51
"180491",Tree Trim,75
"198192",Tree Trim,75
"200170",Tree Stump Grinding,116
"222744",Tree Trim,75
"198363",Tree Removal,51
"203189",Tree Removal,51
"198067",Tree Removal,51
"182741",Tree Trim,75
"183053",Tree Trim,75
"182803",Tree Trim,75
"205176",Tree Trim,75
"199900",Tree Removal,51
"199883",Tree Removal,51
"198109",Tree Trim,75
"208805",Tree Removal,51
"200946",Tree Removal,51
"201438",Tree Trim,75
"201943",Tree Removal,51
"182978",Tree Trim,75
"184477",Tree Trim,75
"202115",Tree Removal,51
"209437",Tree Stump Grinding,116
"182786",Tree Removal,51
"217758",Tree Removal,51
"214910",Tree Removal,51
"184659",Tree Trim,75
"222708",Tree Removal,51
"222706",Tree Removal,51
"184675",Tree Removal,51
"185319",Tree Removal,51
"202955",Tree Trim,75
"205348",Tree Stump Grinding,116
"171275",Tree Removal,51
"222701",Tree Code Violation,52
"222700",Tree Removal,51
"209759",Tree Removal,51
"203634",Tree Trim,75
"222693",Tree Removal,51
"206217",Tree Trim,75
"222689",Tree Removal,51
"203839",Tree Trim,75
"215239",Tree Trim,75
"212847",Tree Removal,51
"222683",Tree Removal,51
"218286",Tree Trim,75
"212582",Tree Trim,75
"211438",Tree Removal,51
"206101",Tree Trim,75
"222677",Tree Trim,75
"222676",Tree Trim,75
"210073",Tree Removal,51
"211612",Tree Removal,51
"207106",Tree Removal,51
"222671",Tree Trim,75
"207874",Tree Trim,75
"222669",Tree Trim,75
"222667",Tree Trim,75
"170427",Tree Trim,75
"221832",Tree Removal,51
"214954",Tree Trim,75
"222662",Tree Trim,75
"222661",Tree Trim,75
"207634",Tree Removal,51
"210869",Tree Removal,51
"186755",Tree Trim,75
"209760",Tree Trim,75
"170420",Tree Trim,75
"171277",Tree Removal,51
"222657",Tree Trim,75
"222654",Tree Trim,75
"208768",Tree Removal,51
"208149",Tree Removal,51
"208816",Tree Removal,51
"222650",Tree Trim,75
"218458",Tree Removal,51
"170762",Tree Removal,51
"222645",Tree Trim,75
"214252",Tree Removal,51
"222644",Tree Removal,51
"216052",Tree Trim,75
"222694",Tree Removal,55
"214341",Tree Removal,51
"208914",Tree Trim,75
"222631",Tree Trim,75
"212420",Tree Trim,75
"186708",Tree Trim,75
"222625",Tree Removal,51
"210082",Tree Removal,51
"211411",Tree Removal,51
"186727",Tree Removal,51
"222612",Tree Trim,75
"218071",Tree Removal,51
"210786",Tree Removal,51
"222608",Tree Trim,75
"187066",Tree Trim,75
"213123",Tree Trim,75
"211107",Tree Removal,52
"171374",Tree Removal,51
"214928",Tree Removal,121
"170421",Tree Trim,75
"222602",Tree Trim,75
"217059",Tree Removal,51
"219467",Tree Stump Grinding,116
"170527",Tree Trim,75
"170763",Tree Trim,75
"222595",Tree Code Violation,52
"171338",Tree Trim,75
"170533",Tree Trim,75
"222622",Tree Removal,51
"171527",Tree Trim,75
"170033",Tree Trim,75
"170076",Tree Removal,51
"170078",Tree Removal,51
"170075",Tree Removal,51
"170008",Tree Removal,51
"170158",Tree Trim,75
"212080",Tree Removal,51
"211696",Tree Removal,51
"212551",Tree Stump Grinding,116
"213922",Tree Removal,51
"222574",Tree Trim,75
"170970",Tree Removal,51
"215698",Tree Removal,51
"215140",Tree Removal,51
"209840",Tree Trim,75
"212893",Tree Trim,75
"170095",Tree Trim,75
"222559",Tree Trim,75
"215637",Tree Removal,51
"216258",Tree Trim,75
"221158",Tree Trim,75
"213522",Tree Trim,75
"222548",Tree Removal,51
"216316",Tree Trim,75
"170186",Tree Removal,51
"170181",Tree Removal,51
"213819",Tree Trim,75
"222541",Tree Trim,75
"217933",Tree Trim,75
"216383",Tree Trim,75
"222534",Tree Trim,75
"222535",Tree Trim,75
"170245",Tree Removal,51
"170091",Tree Removal,51
"169960",Tree Trim,75
"222533",Tree Trim,75
"222531",Tree Trim,75
"222519",Tree Trim,75
"222518",Tree Trim,75
"215521",Tree Removal,51
"170052",Tree Trim,75
"216090",Tree Trim,75
"216825",Tree Trim,75
"222511",Tree Trim,75
"222508",Tree Trim,75
"170338",Tree Trim,75
"222509",Tree Trim,75
"170243",Tree Removal,51
"217988",Tree Removal,51
"216612",Tree Trim,75
"222772",Tree Removal,51
"222504",Tree Planting,25
"170046",Tree Removal,51
"170463",Tree Removal,51
"170487",Tree Removal,51
"222500",Tree Removal,51
"169965",Tree Removal,51
"169966",Tree Removal,51
"170607",Tree Removal,51
"169938",Tree Removal,51
"170635",Tree Removal,51
"221167",Tree Trim,75
"217356",Tree Trim,75
"222490",Tree Trim,75
"170495",Tree Removal,51
"169969",Tree Trim,75
"170572",Tree Removal,51
"169961",Tree Removal,51
"217361",Tree Removal,51
"217828",Tree Trim,75
"170020",Tree Trim,75
"170631",Tree Trim,75
"170188",Tree Removal,51
"170036",Tree Trim,75
"219037",Tree Trim,75
"222482",Tree Trim,75
"222481",Tree Trim,75
"170044",Tree Removal,51
"222647",Tree Removal,51
"222479",Tree Removal,51
"222707",Tree Trim,75
"170102",Tree Removal,51
"222473",Tree Removal,51
"216751",Tree Removal,51
"170004",Tree Trim,75
"170709",Tree Removal,51
"169973",Tree Removal,51
"170065",Tree Removal,51
"220241",Tree Removal,51
"222220",Tree Trim,75
"170730",Tree Removal,51
"222469",Tree Removal,51
"170064",Tree Removal,51
"170742",Tree Removal,51
"170034",Tree Trim,75
"222459",Tree Removal,51
"170654",Tree Trim,75
"222467",Tree Removal,51
"170692",Tree Trim,75
"169980",Tree Trim,75
"170090",Tree Removal,51
"170153",Tree Trim,75
"169956",Tree Trim,75
"169974",Tree Trim,75
"170066",Tree Removal,51
"219432",Tree Removal,51
"170756",Tree Removal,51
"170803",Tree Removal,51
"219518",Tree Trim,75
"221079",Tree Removal,51
"222457",Tree Trim,75
"222456",Tree Trim,75
"222455",Tree Trim,75
"222454",Tree Trim,75
"222450",Tree Trim,75
"222648",Tree Removal,51
"221130",Tree Removal,51
"222446",Tree Trim,75
"169943",Tree Trim,75
"222599",Tree Removal,51
"221466",Tree Removal,51
"221727",Tree Removal,51
"222507",Tree Trim,75
"222485",Tree Removal,51
"222503",Tree Removal,51
"222681",Tree Trim,75
"222491",Tree Trim,77
"222492",Tree Trim,77
"222428",Tree Trim,75
"222668",Tree Removal,51
"170345",Tree Trim,75
"222770",Tree Trim,75
"222425",Tree Removal,51
"222423",Tree Trim,75
"222422",Tree Trim,75
"222421",Tree Trim,75
"222709",Tree Trim,75
"220093",Tree Removal,51
"222418",Tree Removal,51
"194227",Tree Trim,75
"222416",Tree Removal,51
"197327",Tree Trim,75
"200133",Tree Trim,75
"200328",Tree Removal,51
"222411",Tree Trim,75
"170176",Tree Trim,75
"170586",Tree Trim,75
"170200",Tree Removal,51
"170662",Tree Trim,75
"222408",Tree Trim,75
"219260",Tree Trim,75
"222406",Tree Trim,75
"222495",Tree Trim,78
"222405",Tree Removal,51
"170160",Tree Removal,51
"222404",Tree Trim,75
"208817",Tree Trim,75
"222729",Tree Removal,51
"215845",Tree Trim,75
"222004",Tree Removal,51
"205936",Tree Removal,51
"212923",Tree Removal,51
"222395",Tree Trim,75
"222435",Tree Trim,75
"222384",Tree Removal,51
"222375",Tree Trim,75
"222370",Tree Trim,75
"212735",Tree Trim,75
"216586",Tree Removal,51
"222367",Tree Trim,75
"222348",Tree Removal,51
"222345",Tree Trim,75
"222344",Tree Trim,75
"222338",Tree Trim,75
"222333",Tree Removal,51
"222335",Tree Trim,75
"169983",Tree Trim,75
"222328",Tree Trim,75
"222330",Tree Removal,51
"222307",Tree Stump Grinding,116
"222315",Tree Removal,51
"222284",Tree Removal,51
"222311",Tree Trim,75
"222310",Tree Trim,75
"222283",Tree Trim,75
"222294",Tree Trim,75
"222286",Tree Trim,75
"222285",Tree Trim,75
"169984",Tree Trim,75
"222279",Tree Trim,75
"222278",Tree Removal,51
"222223",Tree Trim,75
"170826",Tree Trim,75
"222265",Tree Removal,51
"170026",Tree Trim,75
"222236",Tree Trim,75
"222227",Tree Removal,51
"222217",Tree Removal,51
"222213",Tree Trim,75
"222209",Tree Trim,75
"222215",Tree Trim,75
"222189",Tree Stump Grinding,116
"222184",Tree Trim,75
"222185",Tree Removal,51
"222180",Tree Removal,51
"222169",Tree Removal,51
"222158",Tree Removal,51
"222159",Tree Trim,75
"222145",Tree Removal,51
"222143",Tree Removal,51
"222139",Tree Trim,75
"222138",Tree Trim,75
"222137",Tree Trim,75
"222136",Tree Removal,51
"222135",Tree Removal,51
"222133",Tree Trim,75
"222130",Tree Trim,75
"222129",Tree Trim,75
"169979",Tree Trim,75
"222126",Tree Trim,75
"222124",Tree Removal,51
"222123",Tree Trim,75
"222122",Tree Trim,75
"222110",Tree Trim,75
"222118",Tree Trim,75
"222115",Tree Trim,75
"222107",Tree Removal,51
"222102",Tree Trim,75
"222096",Tree Removal,51
"222092",Tree Removal,51
"222085",Tree Removal,51
"222080",Tree Removal,51
"222079",Tree Removal,51
"222057",Tree Trim,75
"222075",Tree Stump Grinding,116
"222062",Tree Removal,51
"222058",Tree Trim,75
"222050",Tree Removal,51
"222042",Tree Trim,75
"222008",Tree Trim,75
"221982",Tree Trim,75
"222002",Tree Trim,75
"221973",Tree Removal,51
"221990",Tree Trim,75
"221987",Tree Trim,75
"170128",Tree Trim,75
"221983",Tree Trim,75
"170083",Tree Removal,51
"221975",Tree Removal,51
"221971",Tree Removal,51
"221927",Tree Removal,51
"221962",Tree Trim,75
"221961",Tree Stump Grinding,116
"221960",Tree Trim,75
"221959",Tree Trim,75
"221954",Tree Trim,75
"221998",Tree Code Violation,53
"221948",Tree Removal,51
"221945",Tree Removal,51
"221939",Tree Code Violation,52
"221935",Tree Trim,75
"221926",Tree Trim,75
"221925",Tree Trim,75
"221922",Tree Trim,75
"221910",Tree Removal,51
"221917",Tree Removal,51
"170209",Tree Trim,75
"170242",Tree Trim,75
"170577",Tree Removal,51
"170271",Tree Removal,51
"170785",Tree Removal,51
"170045",Tree Trim,75
"170202",Tree Removal,51
"170262",Tree Removal,51
"169972",Tree Trim,75
"170173",Tree Trim,75
"170358",Tree Removal,51
"170406",Tree Trim,75
"170476",Tree Removal,51
"170201",Tree Removal,51
"170491",Tree Trim,75
"170489",Tree Trim,75
"170500",Tree Removal,51
"170641",Tree Trim,75
"221908",Tree Trim,75
"221909",Tree Trim,75
"170218",Tree Trim,75
"221902",Tree Trim,75
"170605",Tree Trim,75
"221901",Tree Trim,75
"221899",Tree Removal,51
"221897",Tree Removal,51
"221894",Tree Trim,75
"221885",Tree Removal,51
"170664",Tree Trim,75
"221882",Tree Trim,75
"221883",Tree Removal,51
"221874",Tree Trim,75
"221871",Tree Trim,75
"221870",Tree Removal,51
"170595",Tree Trim,75
"221866",Tree Trim,75
"170057",Tree Trim,75
"170350",Tree Removal,51
"170594",Tree Trim,75
"170235",Tree Removal,51
"170845",Tree Removal,51
"221858",Tree Trim,75
"221859",Tree Removal,51
"221857",Tree Removal,51
"221855",Tree Trim,75
"221848",Tree Stump Grinding,116
"221821",Tree Trim,75
"221833",Tree Trim,75
"221851",Tree Trim,75
"221847",Tree Trim,75
"221844",Tree Trim,75
"221839",Tree Trim,75
"221834",Tree Removal,51
"221831",Tree Removal,51
"170843",Tree Removal,51
"170098",Tree Trim,75
"221819",Tree Removal,51
"221810",Tree Trim,75
"221801",Tree Stump Grinding,116
"221788",Tree Trim,75
"170035",Tree Trim,75
"221802",Tree Trim,75
"169964",Tree Trim,75
"221799",Tree Removal,51
"221795",Tree Removal,51
"221794",Tree Removal,51
"221793",Tree Trim,75
"221792",Tree Trim,75
"221784",Tree Trim,75
"221774",Tree Trim,75
"221773",Tree Removal,51
"221737",Tree Trim,75
"221770",Tree Trim,75
"221765",Tree Removal,51
"221745",Tree Removal,51
"221733",Tree Trim,75
"221757",Tree Trim,75
"221772",Tree Trim,75
"221746",Tree Code Violation,52
"221747",Tree Trim,75
"221736",Tree Removal,51
"221728",Tree Trim,75
"221720",Tree Trim,75
"221710",Tree Trim,75
"221705",Tree Trim,75
"221704",Tree Trim,75
"221693",Tree Stump Grinding,116
"170846",Tree Trim,75
"170070",Tree Trim,75
"221679",Tree Trim,75
"221676",Tree Trim,75
"221675",Tree Trim,75
"221665",Tree Trim,75
"221656",Tree Stump Grinding,116
"221654",Tree Removal,51
"170114",Tree Removal,51
"221652",Tree Trim,75
"221648",Tree Trim,75
"170250",Tree Removal,51
"221645",Tree Trim,75
"221655",Tree Trim,75
"221615",Tree Removal,51
"221624",Tree Removal,51
"221623",Tree Removal,51
"221622",Tree Trim,75
"221609",Tree Removal,51
"221610",Tree Trim,75
"170670",Tree Stump Grinding,116
"221604",Tree Trim,75
"170950",Tree Trim,75
"169978",Tree Trim,75
"170246",Tree Trim,75
"221593",Tree Trim,75
"221592",Tree Trim,75
"170264",Tree Removal,51
"170238",Tree Removal,51
"170216",Tree Trim,75
"221591",Tree Code Violation,52
"170143",Tree Trim,75
"170127",Tree Trim,75
"170620",Tree Removal,51
"170212",Tree Trim,75
"170261",Tree Removal,51
"170115",Tree Trim,75
"221589",Tree Removal,51
"170278",Tree Removal,51
"170393",Tree Removal,51
"221578",Tree Trim,75
"221579",Tree Trim,75
"170449",Tree Trim,75
"170419",Tree Removal,51
"221574",Tree Trim,75
"170999",Tree Removal,51
"221572",Tree Trim,75
"170884",Tree Trim,75
"170621",Tree Trim,75
"221825",Tree Trim,82
"221548",Tree Removal,51
"170974",Tree Trim,75
"169991",Tree Trim,75
"221569",Tree Trim,75
"221570",Tree Trim,75
"221567",Tree Trim,75
"170913",Tree Removal,51
"221566",Tree Removal,51
"221573",Tree Trim,75
"170715",Tree Removal,51
"221550",Tree Removal,51
"170633",Tree Trim,75
"221546",Tree Code Violation,52
"170347",Tree Trim,75
"221499",Tree Removal,51
"221544",Tree Removal,51
"170324",Tree Removal,51
"221534",Tree Trim,75
"170337",Tree Removal,51
"170343",Tree Trim,75
"221530",Tree Removal,51
"221529",Tree Trim,75
"170222",Tree Trim,75
"221500",Tree Removal,51
"170217",Tree Trim,75
"170028",Tree Trim,75
"170866",Tree Trim,75
"221497",Tree Planting,25
"170712",Tree Removal,51
"221495",Tree Trim,75
"221488",Tree Removal,51
"170333",Tree Removal,51
"221491",Tree Trim,75
"221487",Tree Removal,51
"170189",Tree Trim,75
"170154",Tree Trim,75
"171096",Tree Removal,51
"170252",Tree Trim,75
"170274",Tree Trim,75
"170313",Tree Trim,75
"221469",Tree Trim,75
"171070",Tree Removal,51
"171064",Tree Trim,75
"170460",Tree Trim,75
"170375",Tree Trim,75
"221468",Tree Removal,51
