"year","service_type","request_count"
2020,Tree Trim,3100
2020,Tree Stump Grinding,58
2020,Tree Removal,1872
2020,Tree Planting,34
2020,Tree Code Violation,71
2021,Tree Trim,3433
2021,Tree Stump Grinding,97
2021,Tree Removal,2480
2021,Tree Planting,28
2021,Tree Code Violation,70
2022,Tree Trim,2944
2022,Tree Stump Grinding,92
2022,Tree Removal,2588
2022,Tree Planting,32
2022,Tree Code Violation,87
2023,Tree Trim,3407
2023,Tree Stump Grinding,85
2023,Tree Removal,2901
2023,Tree Planting,35
2023,Tree Code Violation,99
2024,Tree Trim,4423
2024,Tree Stump Grinding,184
2024,Tree Removal,4802
2024,Tree Planting,49
2024,Tree Code Violation,84
2025,Tree Trim,3483
2025,Tree Stump Grinding,156
2025,Tree Removal,1993
2025,Tree Planting,25
2025,Tree Code Violation,82
