"year","service_type","request_percent"
2020,Tree Trim,7.99
2020,Tree Stump Grinding,0.15
2020,Tree Removal,4.83
2020,Tree Planting,0.09
2020,Tree Code Violation,0.18
2021,Tree Trim,8.85
2021,Tree Stump Grinding,0.25
2021,Tree Removal,6.39
2021,Tree Planting,0.07
2021,Tree Code Violation,0.18
2022,Tree Trim,7.59
2022,Tree Stump Grinding,0.24
2022,Tree Removal,6.67
2022,Tree Planting,0.08
2022,Tree Code Violation,0.22
2023,Tree Trim,8.78
2023,Tree Stump Grinding,0.22
2023,Tree Removal,7.48
2023,Tree Planting,0.09
2023,Tree Code Violation,0.26
2024,Tree Trim,11.40
2024,Tree Stump Grinding,0.47
2024,Tree Removal,12.38
2024,Tree Planting,0.13
2024,Tree Code Violation,0.22
2025,Tree Trim,8.98
2025,Tree Stump Grinding,0.40
2025,Tree Removal,5.14
2025,Tree Planting,0.06
2025,Tree Code Violation,0.21
