"workorderid","description","priority","status","submit_to","proj_start_date","proj_finish_date","actual_start","actual_finish","shop","map_page","address","location","category","date_initiated","project","total_cost","comments","zone","request_ids","resolution","sr_problem_code","sr_description","sr_priority","proj_difference","actual_difference","request_id1","request_id2","request_id3","request_id4","request_id5","request_id6","request_id7","request_id8","request_id9"
355141,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE","2020-02-11 10:34:00","2020-02-21 10:34:00","2020-02-11 10:34:00","2020-03-09 12:00:00",C,"531U","5050 WIGTON DR",Remove the broken limb from the 15inches oklv ,TREEMAINTENANCE,"2020-02-11 10:34:00","",84.0,printed,"7, ZONE","170496","00 - Work completed.",Tree Removal,Tree Removal Inspection,0,10,27,"170496","","","","","","","",""
355195,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE","2020-02-24 11:48:00","2020-03-05 11:48:00","2020-02-24 11:48:00","2020-02-25 12:00:00",C,"492M","700 TIRRELL ST",Trim the two 00 inch mulb trees to clear the stop sign ,TREEMAINTENANCE,"2020-02-24 11:48:00","",123.0,printed,"2, ZONE","170268","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,10,1,"170268","","","","","","","",""
365669,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR","2022-11-04 06:57:00","2023-11-04 06:57:00","2022-11-04 06:57:00","2022-11-04 12:00:00",C,"492R","1804 WOODHEAD ST","7 Holly - 3"" caliper ",TREEPLANTING,"2022-11-04 06:57:00","",0.0,"","2, ZONE","191021","09 - Tree Portal entry completed.",Tree Protection Rev,Tree Protection Review Inspection,6,365,0,"191021","","","","","","","",""
356028,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-05-27 13:38:00","2020-06-26 13:38:00","2020-05-27 12:00:00","2020-06-27 12:00:00",I,"494V","6737  AVENUE E ",Remove deadwood.,TREEMAINTENANCE,"2020-05-27 13:38:00",FY20 - Tree Maintenance,131.0,inv 104138,"5, ZONE","171913","00 - Work completed.",Tree Removal,Tree Removal Inspection,1,30,31,"171913","","","","","","","",""
354966,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE","2020-01-02 08:47:00","2020-01-12 08:47:00","2020-01-02 08:47:00","2020-01-30 12:00:00",K,"571X","15626 SUMMER BRIAR CT",Remove the broken limb is hanging between the sidewalk and street from the 35inches asha ,TREEMAINTENANCE,"2020-01-02 08:47:00","",115.0,printed,"7, ZONE","169612","00 - Work completed.",Tree Trim,Tree Trim Inspection,1,10,28,"169612","","","","","","","",""
354967,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-02 09:20:00","2020-02-01 09:20:00","2020-01-07 12:00:00","2020-03-19 12:00:00",I,"534V","6102  PLAINVIEW ",Remove deadwood from 45+ Water Oak and balance crown near the intersection of Plainview and Cherrydale.,TREEMAINTENANCE,"2020-01-02 09:20:00",FY20 - Tree Maintenance,136.0,completed - invoice # 100138.,"6, ZONE","168849","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,72,"168849","","","","","","","",""
359820,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-05-21 14:20:00","2021-06-20 14:20:00","2021-08-03 12:00:00","2021-08-18 12:00:00",H,"493B","730  BAYLAND ",Trim a Live Oaks 8ft over roof.,TREEMAINTENANCE,"2021-05-21 02:20 PM",FY22 - Tree Maintenance,131.0,Invoice # 117457,"3, ZONE","179228","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,15,"179228","","","","","","","",""
362887,EMERGENCY REMOVAL BY IN-HOUSE,1,CLOSED,"UF, IN-HOUSE","2021-12-28 10:43:00","2021-12-29 10:43:00","2021-12-28 10:43:00","2022-01-04 19:34:00",D,"493X","3909 AUSTIN ST","Remove fallen 20"" Palm. ",TREEMAINTENANCE,"2021-12-28 10:43 AM","",246.0,Also see WO# 361449.,"2, ZONE","185129","00 - Work completed.",Tree Removal,Tree Removal Inspection,3,1,7,"185129","","","","","","","",""
354968,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-02 10:15:00","2020-02-01 10:15:00","2020-01-07 12:00:00","2020-01-13 12:00:00",D,"534S","5826  SOUTHTOWN ","Trim private 30"" Water Oak at 5822 Southtown to clear streetlight.",TREEMAINTENANCE,"2020-01-02 10:15:00",FY20 - Tree Maintenance,105.0,inv10149,"6, ZONE","168840","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"168840","","","","","","","",""
354969,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE","2020-01-03 08:32:00","2020-01-13 08:32:00","2020-01-03 08:32:00","2020-01-09 12:00:00",H,"493D","2719 ELYSIAN ST",Remove the 2 small trees and trim the 45inches oklv to clear the street and stop signs ,TREEMAINTENANCE,"2020-01-03 08:32:00","",136.0,printed,"4, ZONE","168953","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,10,6,"168953","","","","","","","",""
