WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
354966,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2020-01-02 08:47 AM,2020-01-12 08:47 AM,,2020-01-30 12:00 PM,K,571X,15626 SUMMER BRIAR CT,Remove the broken limb is hanging between the sidewalk and street from the 35inches asha ,TREEMAINTENANCE,2020-01-02 08:47 AM,,115,115,printed,"7, ZONE",0,169612,00 - Work completed.,Tree Trim,Tree Trim Inspection,1
354967,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-02 09:20 AM,2020-02-01 09:20 AM,2020-01-07 12:00 PM,2020-03-19 12:00 PM,I,534V,6102  PLAINVIEW ,Remove deadwood from 45+ Water Oak and balance crown near the intersection of Plainview and Cherrydale.,TREEMAINTENANCE,2020-01-02 09:20 AM,FY20 - Tree Maintenance,136,136,completed - invoice # 100138.,"6, ZONE",0,168849,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354968,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-02 10:15 AM,2020-02-01 10:15 AM,2020-01-07 12:00 PM,2020-01-13 12:00 PM,D,534S,5826  SOUTHTOWN ,"Trim private 30"" Water Oak at 5822 Southtown to clear streetlight.",TREEMAINTENANCE,2020-01-02 10:15 AM,FY20 - Tree Maintenance,105,105,inv10149,"6, ZONE",0,168840,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354969,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2020-01-03 08:32 AM,2020-01-13 08:32 AM,,2020-01-09 12:00 PM,H,493D,2719 ELYSIAN ST,Remove the 2 small trees and trim the 45inches oklv to clear the street and stop signs ,TREEMAINTENANCE,2020-01-03 08:32 AM,,136,136,printed,"4, ZONE",0,168953,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354970,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-06 08:26 AM,2020-02-05 08:26 AM,2020-01-07 12:00 PM,2020-01-10 12:00 PM,I,494Z,7011  CAPITOL ,Trim Arizona Ash on the Capital street Right-of-way of 211 S 70th street to clear streetlight obstruction.,TREEMAINTENANCE,2020-01-06 08:26 AM,FY20 - Tree Maintenance,115,115,inv 10148,"5, ZONE",0,169283,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354971,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-06 08:50 AM,2020-02-05 08:50 AM,2020-01-07 12:00 PM,2020-01-13 12:00 PM,D,533T,7904 PARNELL ST,Trim the 40inches private oklv the 15inches private oklv and the 10inches oklv just to clear 14feet over the street ,TREEMAINTENANCE,2020-01-06 08:50 AM,FY20 - Tree Maintenance,288,288,inv10149,"6, ZONE",0,168954,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354972,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-06 08:54 AM,2021-01-05 08:54 AM,2020-01-07 12:00 PM,2020-01-11 12:00 PM,I,494V,7026  AVENUE E ,Stump grind 30+ inch Live Oak at 7026 Avenue E.,TREEMAINTENANCE,2020-01-06 08:54 AM,FY20 - Tree Maintenance,147,147,inv 10148,"5, ZONE",0,169032,00 - Work completed.,Tree Stump Grinding,Tree Stump Inspection,0
354973,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-06 10:01 AM,2020-02-05 10:01 AM,2020-01-07 12:00 PM,2020-01-13 12:00 PM,D,493U,2200 CAROLINE ST,Trim the trees on caroline there is three 15 inches and six 10inches okla ,TREEMAINTENANCE,2020-01-06 10:01 AM,FY20 - Tree Maintenance,693,693,inv 10148,"2, ZONE",0,169157,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354974,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2020-01-06 10:23 AM,2020-01-16 10:23 AM,,2020-01-27 12:00 PM,I,493Q,808 PEASE ST,Trim the 20inches oklv to clear the parking sign on the northwest corner of Pease and Travis ,TREEMAINTENANCE,2020-01-06 10:23 AM,,89,89,printed,"1, ZONE",0,169072,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
354975,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2020-01-06 10:29 AM,2020-02-05 10:29 AM,2020-01-07 12:00 PM,2020-01-13 12:00 PM,H,494M,1123  ROUSE ,Trim private Chinese Tallow to clear streetlight obstruction and 14ft over street and 8ft over sidewalk.,TREEMAINTENANCE,2020-01-06 10:29 AM,FY20 - Tree Maintenance,105,105,inv 10148,"5, ZONE",0,169134,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
