RequestId,Problem Code,Date Initiated,Description,Priority,Category,Submit To,Dispatch To,Address,Zone,Council District,Keymap,Zip Code,Status
218033,Tree Removal,2025-01-01 03:08 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CVM, VOICEMAIL","UF - ERICKSON, IAN","5151 Hull St,  Houston,  Texas,  77021","6, ZONE",D,534N,77021,CLOSED
218035,Tree Removal,2025-01-02 08:47 AM,Tree Removal Inspection,3,TREEMAINTENANCE,"UF - CVM, VOICEMAIL","UF - ERICKSON, IAN","3011 N Macgregor Way,  Houston,  Texas,  77004","6, ZONE",D,533G,77004,ROUTE
218037,Tree Trim,2025-01-02 09:38 AM,Tree Trim Inspection,0,TREEMAINTENANCE,"UF - CDY, D365","UF - ERICKSON, IAN","5524 Gessner Dr,  Houston,  Texas,  77041","3, ZONE",A,450A,77041,CLOSED
218038,Tree Trim,2025-01-02 09:50 AM,Tree Trim Inspection,0,TREEMAINTENANCE,"UF - NAS, NO ANSWER","UF - CASTILLO, ALEJANDRO","5131 Idaho St,  Houston,  Texas,  77021","6, ZONE",D,534N,77021,CLOSED
218040,Tree Removal,2025-01-02 10:26 AM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CPH, PHONE","UF - LEIJA, DANIEL","3603 Freshmeadows Dr,  Houston,  Texas,  77063","2, ZONE",F,490Z,77063,CLOSED
218048,Tree Trim,2025-01-02 11:32 AM,Tree Trim Inspection,0,TREEMAINTENANCE,"UF - CVM, VOICEMAIL","UF - CASTILLO, ALEJANDRO","10057 Bob White Dr,  Houston,  Texas,  77096","7, ZONE",C,530V,77096,CLOSED
218052,Tree Removal,2025-01-02 04:15 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CDY, D365","UF - CASTILLO, ALEJANDRO","6014 Willowbend Blvd,  Houston,  Texas,  77096","7, ZONE",C,531W,77096,CLOSED
218053,Tree Removal,2025-01-02 09:28 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - NCI, NO CONTACT INFO","UF - LEIJA, DANIEL","1504 Upland Glen Way,  Houston,  Texas,  77043","3, ZONE",A,449X,77043,CLOSED
218056,Tree Stump Grinding,2025-01-03 08:21 AM,Tree Stump Inspection,3,TREEMAINTENANCE,"UF - CIP, IN-PERSON","UF - ERICKSON, IAN","7014 Vandeman St,  Houston,  Texas,  77087","5, ZONE",I,535E,77087,ROUTE
218061,Tree Trim,2025-01-03 09:54 AM,Tree Trim Inspection,0,TREEMAINTENANCE,"UF - CPH, PHONE","UF - LEIJA, DANIEL","6001 Fannin St,  Houston,  Texas,  77030 (Hermann Park)","7, ZONE",D,533A,77030,CLOSED
218069,Tree Trim,2025-01-03 12:42 PM,Tree Trim Inspection,0,TREEMAINTENANCE,"UF - CVM, VOICEMAIL","UF - CASTILLO, ALEJANDRO","8014 Constellation Ln,  Houston,  Texas,  77075","6, ZONE",I,575P,77075,CLOSED
218070,Tree Removal,2025-01-03 01:00 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CIP, IN-PERSON","UF - ERICKSON, IAN","8946 Duane St,  Houston,  Texas,  77051","6, ZONE",D,533Z,77051,CLOSED
218071,Tree Removal,2025-01-03 01:03 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - NAP, NO ACCESS","UF - CASTILLO, ALEJANDRO","9615 Kingsvalley St,  Houston,  Texas,  77075","6, ZONE",I,576S,77075,CLOSED
218072,Tree Removal,2025-01-03 01:39 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CPH, PHONE","UF - LEIJA, DANIEL","5327 Ridgestone Ln,  Houston,  Texas,  77053","7, ZONE",K,611C,77053,CLOSED
218073,Tree Removal,2025-01-03 01:39 PM,Tree Removal Inspection,0,TREEMAINTENANCE,"UF - CPH, PHONE","UF - LEIJA, DANIEL","5323 Ridgestone Ln,  Houston,  Texas,  77053","7, ZONE",K,611C,77053,CLOSED
